Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
Santa Cruz,1435,500,150,-50.248 / -72.645,Lago Argentino
Santa Cruz,1166,Valor desconocido,Valor desconocido,-49.624 / -72.495,Lago Viedma
Río Negro / Neuquén,540,464,157,-40.854 / -71.616,Lago Nahuel Huapi
Chubut,427,39,20,-45.415 / -69.198,Lago Musters
Santa Cruz,358,Valor desconocido,49,-48.917 / -71.215,Lago Cardiel
Buenos Aires,156,11,7,-37.129 / -62.865,Lago Epecuén
Río Negro,116,Valor desconocido,Valor desconocido,-38.707 / -67.973,Lago Pellegrini
Santa Cruz,100,Valor desconocido,Valor desconocido,-48.433 / -71.190,Lago Strobel
Chubut,84,Valor desconocido,79,-44.921 / -71.496,Lago Fontana
Neuquén,84,Valor desconocido,142,-39.774 / -71.509,Lago Huechulafquen
Neuquén,78,Valor desconocido,Valor desconocido,-40.631 / -71.415,Lago Traful
Chubut,73,Valor desconocido,Valor desconocido,-44.859 / -71.820,Lago La Plata
Santa Cruz,65,Valor desconocido,Valor desconocido,-47.288 / -71.530,Lago Ghío
Chubut,58,287,149,-42.691 / -71.862,Lago Menéndez
Neuquén,58,165,64,-38.922 / -71.126,Lago Aluminé
Neuquén,53,277,166,-40.163 / -71.436,Lago Lácar
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,Valor desconocido,43,-54.412 / -67.715,Lago Yehuin
Santa Cruz,47,Valor desconocido,Valor desconocido,-48.417 / -71.551,Lago Quiroga
Chubut,47,180,111,-42.151 / -71.650,Lago Puelo
Santa Cruz,42,Valor desconocido,Valor desconocido,-47.979 / -72.353,Lago Nansen
Santa Cruz,42,Valor desconocido,Valor desconocido,-47.844 / -72.143,Lago Belgrano
Chubut,42,168,101,-42.828 / -71.675,Lago Futalaufquen
Santa Cruz,41,Valor desconocido,31,-47.494 / -71.832,Lago Posadas
Neuquén,40,Valor desconocido,Valor desconocido,-40.676 / -71.711,Lago Espejo
Río Negro,39,218,111,-41.346 / -71.548,Lago Mascardi
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,Valor desconocido,Valor desconocido,-54.395 / -67.593,Lago Chepelmut
Santa Cruz,37,Valor desconocido,Valor desconocido,-47.500 / -71.613,Lago Salitroso o Sucio
Neuquén,37,Valor desconocido,Valor desconocido,-40.036 / -71.536,Lago Lolog
Santa Cruz,30,Valor desconocido,Valor desconocido,-49.228 / -72.017,Lago Tar
Neuquén,29,Valor desconocido,69,-39.526 / -71.448,Lago Tromen
Chubut,28,Valor desconocido,Valor desconocido,-45.888 / -71.224,Lago Blanco
Neuquén,26,Valor desconocido,Valor desconocido,-39.411 / -71.314,Lago Quillén
Santa Cruz,23,Valor desconocido,Valor desconocido,-47.863 / -71.470,Lago Asador o Guitarra
Chubut,23,147,104,-42.611 / -71.666,Lago Rivadavia
Neuquén,21,Valor desconocido,Valor desconocido,-38.904 / -71.274,Lago Moquehue
Neuquén,20,Valor desconocido,Valor desconocido,-40.702 / -71.660,Lago Correntoso
Chubut,20,Valor desconocido,Valor desconocido,-45.594 / -68.548,Lago Río Chico
Santa Cruz,20,Valor desconocido,Valor desconocido,-48.499 / -71.585,Lago Quiroga Chico
Chubut,17,148,92,-42.188 / -71.507,Lago Epuyén
Río Negro,17,111,80,-41.208 / -71.420,Lago Gutiérrez
Chubut,17,108,49,-42.459 / -71.669,Lago Cholila
Neuquén,16,Valor desconocido,66,-39.724 / -71.584,Lago Paimún
Santa Cruz,16,Valor desconocido,Valor desconocido,-47.846 / -72.270,Lago Azara
Santa Cruz,14,Valor desconocido,Valor desconocido,-47.956 / -72.203,Lago Burmeister
Santa Cruz,14,Valor desconocido,Valor desconocido,-50.108 / -73.350,Lago Onelli
Neuquén,14,Valor desconocido,Valor desconocido,-40.333 / -71.319,Lago Meliquina
Río Negro,12,Valor desconocido,Valor desconocido,-41.066 / -71.541,Lago Perito Moreno
Neuquén,12,Valor desconocido,Valor desconocido,-39.840 / -71.507,Lago Currhué
Neuquén,11,Valor desconocido,Valor desconocido,-40.485 / -71.476,Lago Falkner
Chubut,10,Valor desconocido,Valor desconocido,-44.242 / -71.502,Lago Pico Nº 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Valor desconocido,Valor desconocido,-54.689 / -65.806,Lago Río Bueno
Chubut,10,57,25,-43.260 / -71.347,Lago Rosario
Santa Cruz,843,Valor desconocido,Valor desconocido,-46.435 / -71.714,Lago Buenos Aires
Santa Cruz,537,Valor desconocido,Valor desconocido,-48.896 / -72.698,Lago San Martín
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,Valor desconocido,81,-54.565 / -67.890,Lago Fagnano
Santa Cruz,125,Valor desconocido,Valor desconocido,-47.357 / -71.931,Lago Pueyrredón
Chubut,96,Valor desconocido,Valor desconocido,-43.931 / -71.535,Lago General Vintter
